City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,katabu,-4.9333,122.5167,308.09,42,41,1.15,ID,1699932573
83,lhasa,29.65,91.1,279.23,38,16,1.75,CN,1699932574
84,selsey,50.735,-0.7898,287.55,90,86,2.68,GB,1699932574
85,hermanus,-34.4187,19.2345,288.07,80,43,8.11,ZA,1699932574
86,olonkinbyen,70.9221,-8.7187,271.71,74,98,3.45,SJ,1699932574
87,sanctuary point,-35.1114,150.629,296.11,66,99,2.94,AU,1699932575
88,klyuchi,52.2667,79.1667,275.97,93,93,3.47,RU,1699932575
89,susuman,62.7833,148.1667,244.82,98,76,0.53,RU,1699932575
90,iqaluit,63.7506,-68.5145,255.2,64,0,2.06,CA,1699932575
91,khouribga,32.9333,-6.6,291.14,39,5,1.26,MA,1699932576
92,kem',64.9555,34.5793,272.01,95,100,7.21,RU,1699932576
93,albany,42.6001,-73.9662,274.67,85,75,0.76,US,1699932576
94,la paz,-16.5,-68.15,283.47,85,75,3.09,BO,1699932319
95,villemandeur,47.987,2.718,284.9,90,100,6.63,FR,1699932577
96,kavaratti,10.5669,72.642,300.63,71,55,1.57,IN,1699932577
97,qaqortoq,60.7167,-46.0333,266.17,95,94,1.67,GL,1699932577
98,alaghsas,17.0187,8.0168,296.1,15,3,4.51,NE,1699932577
99,ancud,-41.8697,-73.8203,279.21,71,33,3.7,CL,1699932577
100,ghat,24.9647,10.1728,290.38,44,0,2.17,LY,1699932578
101,san antonio de pale,-1.4014,5.6325,299.27,80,22,3.55,GQ,1699932578
102,shiyan,32.6475,110.7781,285.37,62,63,1.46,CN,1699932578
103,quesnel,52.9999,-122.5029,274.43,93,100,0.0,CA,1699932578
104,san patricio,28.017,-97.5169,290.84,88,100,5.51,US,1699932579
105,west island,-12.1568,96.8225,302.14,70,40,4.63,CC,1699932579
106,fetsund,59.929,11.1625,271.8,89,96,3.65,NO,1699932579
107,gadzhiyevo,69.2551,33.3362,264.22,97,94,1.2,RU,1699932579
108,enewetak,11.3474,162.3373,301.58,79,83,8.65,MH,1699932579
109,tambura,5.6,27.4667,295.19,91,93,1.53,SS,1699932580
110,babolsar,36.7025,52.6576,285.33,60,21,2.22,IR,1699932580
111,hobyo,5.3505,48.5268,299.7,82,33,2.09,SO,1699932580
112,nemuro,43.3236,145.575,278.37,53,13,9.49,JP,1699932580
113,stettler,52.3168,-112.7186,275.01,64,100,4.12,CA,1699932581
114,flying fish cove,-10.4217,105.6791,300.97,74,100,5.14,CX,1699932581
115,argo,37.6333,22.7333,288.61,69,30,1.14,GR,1699932581
116,hamilton,39.1834,-84.5333,283.72,55,0,1.34,US,1699932407
